id,input_arabic,input_english,prediction_arabic,prediction_english,ground_truth,Level,quadrant
4797,"عرف علم الإحصاء بانه العلم الذي يختص بجمع وتحليل وتفسير المعطيات الكمية هو:
A) Bodding ton .
B) Lovitt .
C) Codencroxton
D) الخبراء بشكل عام","Statistics is defined as the science that deals with the collection, analysis, and interpretation of quantitative data by:
A) Boddington

B) Lovitt

C) Codencroxton
D) Experts in general",D,C,C,Y1,access_gap
3256,"يمكن تمييز الصائم عن اللفائفي بالمميزات التالية ماعدا:
A) يتوضع اللفائفي في القسم السفلي من جوف الصفاق في الحوض.
B) قطر الصائم أكبر وجدارة أثخن وأكثر احمرارا من اللفائفي.
C) يحوي الصائم لطاخات باير
D) تشكل الأوعية المساريقية الصائمية قوسا واحدا أو اثنين فقط مع فروع طويلة تصل بين القوس وجدار المعي","The jejunum can be distinguished from the ileum by the following features except:

A) The ileum is located in the lower part of the peritoneal cavity in the pelvis.

B) The jejunum has a larger diameter and a thicker, redder wall than the ileum.

C) The jejunum contains Peyer's stains.

D) The mesenteric-jejunal vessels form only one or two arches with long branches connecting the arch to the intestinal wall.",D,C,C,Y2,access_gap
2281,"عندما يكون 50% من الأفراد الذين يحملون طفرة سائدة دون أن يظهر لديهم أعراض مرضية، نقول عن هذا المرض إنه: واحد صح
A) epistatic
B) ناقص الاختراق
C) متغير التعبير
D) متنحي","When 50% of individuals carry a dominant mutation without showing symptoms, we say that this disease is:
A) epistatic
B) hypopectuated
C) variable in expression
D) recessive",B,C,C,Y1,access_gap
4684,"يعبر عن وحدة المعاينة بأنها:
A) طريقة أخذ العينة
B) مجموعة عناصر من العينة
C) عنصر من العينة
D) إطار العينة","The sampling unit is expressed as:
A) Sampling method
B) A set of elements from the sample
C) An element of the sample
D) The sampling frame",B,C,C,Y1,access_gap
2863,"يتضمن تحليل البول ايونا قياسيا للوزن النوعي عادة من:
A) 1.015 الي 1.035
B) 1.020 الي 1.040
C) 1.015 الي 1.030
D) كل ما سبق صحيح","Urine analysis typically includes a standard specific gravity ion range of:
A) 1.015 to 1.035
B) 1.020 to 1.040
C) 1.015 to 1.030
D) All of the above",D,C,C,Y1,access_gap
600,"حركة الركبة للخلف بمستوى سهمي:
A) عطف
B) بسط
C) دوران انسي
D) دوران وحشي","Rearward movement of the knee in a sagittal plane:
A) Flexion
B) Extension
C) Medial rotation
D) Lateral rotation",B,A,A,Y2,access_gap
1186,"كل ما يلي من الملحقات الحلدية ما عدا:
A) الغدد المخاطية
B) الأشعار
C) الغدد المصلية العرقية
D) الغدد الدهنية","All of the following are considered epidermal appendages except:
A) Mucous glands
B) Hairs
C) Serous sweat glands
D) Sebaceous glands",C,A,A,Y2,access_gap
580,"تشكل الأعصاب الشوكية من القطنية الأولى حتى القطنية الرابعة:
A) الضفيرة العجزية.
B) LUMBAR PLEXUS .
C) الضفيرة العصعصية.
D) CECRVICAL PLEXUS .","The spinal nerves from the first to the fourth lumbar region consist of:

A) The sacral plexus.

B) The lumbar plexus.

C) The coccygeal plexus.

D) The cervical plexus.",C,B,B,Y2,access_gap
1111,"تتميز العضلات رافعات الأضلاع بالتالي ما عدا:
A) تصل الأضلاع بالعمود الفقري.
B) عددها اثنا عشر زوجاً.
C) لها عمل شهيقي.
D) دور هام في التنفس.
E) تتعصب بالأعصاب الوربية.","The levator costalis muscles are characterized by all of the following except:

A) They connect the ribs to the vertebral column.

B) There are twelve pairs of them.

C) They have an inspiratory function.

D) They play an important role in respiration.

E) They are innervated by the intercostal nerves.",B,E,E,Y1,access_gap
4022,"يتصف تنظيم الجهاز العصبي المستقل بما يلي عدا:
A) يوجد جسم العصبون قبل العقدة خارج الجهاز العصبي المركزي
B) يوجد أنماط مختلفة من الخلايا التي يعصبها الطريق الحركي
C) الأستيل كولين هو الناقل العصبي الذي ُيفَرز من نهايات الياف العصبونات قبل العقدة
D) اختلاف استجابات الأعضاء المستهدفة","The organization of the autonomic nervous system is characterized by all of the following except:
A) The preganglionic neuron body is located outside the central nervous system
B) There are different types of cells innervated by the motor pathway
C) Acetylcholine is the neurotransmitter secreted from the preganglionic neuronal fiber endings
D) Target organ responses vary",C,A,A,Y1,access_gap
3917,"توجد المستقبلات المسكارينية في:
A) المشابك بين العصبونات قبل العقدية وبعد العقدية للجهاز اللاودي
B) العقد المستقلة
C) الخلايا المستجيبة للتنبيه بالعصبونات الكولينية الفعل بعد العقدية
D) الوصل العصبي العضلي","Muscarinic receptors are found in:
A) Synapses between preganglionic and postsynaptic neurons of the parasympathetic nervous system
B) Autonomic ganglia
C) Postganglionic cholinergic response cells
D) Neuromuscular junctions",D,C,C,Y1,access_gap
1181,"السائل المفرز حول الاهداب الشمية من غدد بومان الموجودة في الصفيحة المخصوصة للظهارة الشمية مسؤول عن :
A) ترطيب الهواء المستنشق.
B) السماح بوصول الروائح الجديدة
C) التقاط الاجسام الغريبة.
D) كل ما سبق صحيح.","The fluid secreted around the olfactory cilia by Bowman's glands, located in the lamina propria of the olfactory epithelium, is responsible for:

A) Humidifying the inhaled air.

B) Allowing the passage of new odors.

C) Detecting foreign particles.

D) All of the above are true.",D,B,B,Y2,access_gap
4206,"الناقل العصبي الرئيسي الذي تحرره الالياف بعد العقدية الودية:
A) الاستيل كولين
B) النورادرينالين
C) السيروتونين
D) الانكيفالين","The main neurotransmitter released by the postsynaptic fibers is:
A) Acetylcholine
B) Norepinephrine
C) Serotonin
D) Enkephalin",B,A,A,Y1,access_gap
2598,"التي تمثل قيمة تغير الحجم النسبي هي
A) مقاومة الجسم لحركة المستويات الداخلية
B) مقاومة الجسم لتغير حجمه
C) مقاومة الجسم للحمولة
D) كل ما سبق صحيح","Which represents the value of the relative volume change?
A) The body's resistance to internal plane movement
B) The body's resistance to a change in volume
C) The body's resistance to a load
D) All of the above are correct",D,B,B,Y1,access_gap
4203,"ينتج عن العلاج بالستيروئيدات :
A) نقص العدلات.
B) زيادة الحمضات.
C) نقص اللمفاويات.
D) زيادة الاسسات.","Steroid treatment can result in:
A) Neutropenia.

B) Eosinophilia.

C) Lymphopenia.

D) Basophilia.",A,C,C,Y1,access_gap
2361,"قوة اللزوجة بالنسبة لاتجاه جريان المائع :
A) تعاكسه .
B) توافقه .
C) عمودية عليه .
D) الكل خطأ .","The force of viscosity with respect to the direction of fluid flow:

A) Opposite it.

B) Conforms to it.

C) Perpendicular to it.

D) All are incorrect.",B,A,A,Y1,access_gap
2062,"الصحيح عن داء فيردنغ –هوفمان كل ما يلي ماعدا :
A) فقد لخلايا القرن الأمامي
B) اختلال في مستوى الكرياتين كيناز في المصل
C) سببه طفرات خصوصاً خبن في الجين SMA
D) تواتر الإصابة به واحد في كل 10 آلاف","The following are all true except:
A) Loss of anterior horn cells
B) Abnormal serum creatine kinase levels
C) Caused by mutations, particularly deletions in the SMA gene
D) Occurrence rate is 1 in 10,000",B,D,D,Y1,access_gap
976,"تمفصلات عظاك رسغ اليد
A) المربعى مع قاعدة المشط الاول
B) المنحرفى مع قاعدة المشط الثالث
C) الكبير مع قاعدة المشط الثانى
D) الزورقى مع الكلابى","Articulations of the wrist bones:
A) Square joint with the base of the first metacarpal
B) Trapezius joint with the base of the third metacarpal
C) Large joint with the base of the second metacarpal
D) Scaphoid joint with the canine",C,A,A,Y2,access_gap
578,"حركة خاصة بالساعد
A) الكب
B) العودة
C) المقابلة
D) الشتر","Forearm movement
A) Pronation
B) Return
C) Opposition
D) Transition",D,A,A,Y1,access_gap
3698,"ينعدم يوروبيلينوجين البول في
A) اليرقان الانحلالي
B) اليرقان الكبدي
C) اليرقان الانسدادي
D) كل ماسبق خطأ","Urine urobilinogen is absent in:
A) Hemolytic jaundice
B) Hepatic jaundice
C) Obstructive jaundice
D) All of the above are incorrect",D,C,C,Y2,access_gap
3232,"كل العضلات التالية لها شكل صفيحة عضلية وترية عدا:
A) العضلة المنحرفة الظاهرة.
B) العضلة المنحرفة الباطنة.
C) العضلة المعترضة البطنية.
D) العضلة المستقيمة البطنية.
E) عضلة الحجاب الحاجز.","All of the following muscles have a muscular-tendonal plate shape except:

A) External oblique muscle.

B) Internal oblique muscle.

C) Transversus abdominis muscle.

D) Rectus abdominis muscle.

E) Diaphragm muscle.",A,D,D,Y2,access_gap
363,"عضلات تقوم بالدوران الوحشي في الذراع عدا:
A) المدورة الكبيرة
B) الدالية
C) المدورة الصغيرة
D) تحت الشوك","All muscles that perform lateral rotation in the arm except:
A) teres major
B) deltoid
C) teres minor
D) subspinatus",B,A,A,Y2,access_gap
171,"العظم القذالي :
A) عظم مفرد.
B) سطحه الخارجي مقعر.
C) سطحه الداخلي محدب.
D) يشغل القسم الامامي العلوي للقحف .","The occipital bone:

A) It is a single bone.

B) Its outer surface is concave.

C) Its inner surface is convex.

D) It occupies the upper anterior part of the skull.",D,A,A,Y2,access_gap
459,"يصبح الشريان الإبطي عضدياً بعد تجاوزه وتر
A) ذات الرأس
B) المدورة الكبيرة
C) المدورة الصغيرة
D) ثلاثية الرؤوس","The axillary artery becomes brachial after passing the tendon of:
A) the cephalic artery
B) the greater trochanter
C) the lesser trochanter
D) the triceps artery",A,B,B,Y2,access_gap
663,"أعمق الانخفاضات في الصيوان يُدعى:
A) المحار
B) الحتار
C) فصيص الأذن
D) نظير الحتار","The deepest depression in the auricle is called:
A) conchoid
B) otolith
C) otolith
D) paraotolith",B,A,A,Y2,access_gap
4498,"تحتوي الإحصاءات اليومية الرسمية للمشفى على:
A) ملخص تخريج المريض
B) العدد الإجمالي للمتخرجين
C) تقارير الفحوص الشعاعية
D) كل ما سبق صحيح","The hospital's official daily statistics include:
A) Patient discharge summary
B) Total number of discharged patients
C) Radiology reports
D) All of the above",D,B,B,Y1,access_gap
708,"ينشأ الجذع المشترك للشريان بين العظمين من الشريان
A) الزندي
B) الكعبري
C) العضدي
D) الابطي","The common trunk of the interosseous artery arises from the artery of:
A) the ulnar artery
B) the radial artery
C) the brachial artery
D) the axillary artery",C,A,A,Y2,access_gap
2542,"كل ما يلي صحيح عن العين ما عدا :
A) هي كروية تقريبا ومتوسط قطرها
B) يوجد في مقدمة العين بروز مملوء بمانع مائي ومغطى من الخارج بغشاء شفاف يدعى لقرنية
C) يتم الإبقاء على زيادة الضغط في المانع المائي للإبقاء على البروز قليلا نحو الخارج
D) يقوم سطح العدسة المنحني بمعظم عملية انكسار الاشعة الضوئية التي تدخل العين","All of the following are true about the eye except:
A) It is nearly spherical and has an average diameter of
B) At the front of the eye is a protrusion filled with aqueous humor and covered externally by a transparent membrane called the cornea
C) Increased pressure is maintained in the aqueous humor to keep the protrusion slightly outward
D) The curved surface of the lens does most of the refraction of light rays entering the eye",C,D,D,Y1,access_gap
4296,"تتميز بالنقل القفزي :
A) الألياف المغمدة بالنخاعين
B) الألياف المجردة من النخاعين
C) الألياف العارية من النخاعين
D) كل ما سبق صحيح","Characterized by jumping transport:
A) Myelinated fibers
B) Unmyelinated fibers
C) Unmyelinated fibers
D) All of the above are correct",D,A,A,Y1,access_gap
218,"يمر عبرهما الهواء إلى جوف الأنف :
A) CHOANA
B) المنخرين
C) المنعرين
D) كل ما سبق خطأ","Air passes through them into the nasal cavity: A) Choana
B) Nostrils
C) Nostrils
D) All of the above are incorrect",A,B,B,Y1,access_gap
2225,"كل ما يلي صحيح عن الرنا المرسال عدا:
A) متمم ومعاكس القطبية لطاق الدنا المرصاف.
B) يتم اصطناعه بالاتجاه 5 الى 3.
C) متمم لطاق الدنا المرصاف .
D) يخضع في حقيقيات النوى لثالث تعديلات حتى يصبح بشكله الناضح.","All of the following are true about messenger RNA EXCEPT:
A) It is complementary and opposite in polarity to the DNA strand.

B) It is synthesized in the 5' to 3' direction.

C) It is complementary to the DNA strand.

D) In eukaryotes, it undergoes three modifications to reach its mature form.",B,C,C,Y1,access_gap
2191,"المرسال البدئي mRNA Primer عند حقيقيات النوى:
A) اقصر من المنتسخ الناضج Mature RNA.
B) يحوي انترونات واكسونات.
C) يحوي اكسونات فقط.
D) ال يخضع لعملية التضفير. splicing","The primer (mRNA) in eukaryotes:

A) Is shorter than the mature RNA.

B) Contains introns and exons.

C) Contains only exons.

D) Does not undergo splicing.",C,B,B,Y1,access_gap
2970,"بعد مبدأ الارتياب لـ هايز نبرج، أحد أساسيات:
A) الضغط
B) ميكانيكا الكم
C) علم الفيزياء
D) A, C","Following Heisenberg's uncertainty principle, one of the fundamentals of:
A) Pressure
B) Quantum mechanics
C) Physics
D) A, C",D,B,B,Y1,access_gap
3871,"يعمل الترحام كـ:
A) مستقبل الأصداء النبضة
B) دام مصدر للأمواج بالنمط المستمر
C) مصدر للأمواج بالنمط النبضي
D) كل ما سبق","The transducer functions as:
A) A pulsed echo receiver
B) A continuous-mode wave source
C) A pulsed-mode wave source
D) All of the above",C,D,D,Y2,access_gap
1134,"العضلة التي ترتكز على الحافة الضلعية:
A) المستعرضة الصدرية.
B) الوربية الباطنة.
C) المنشارية الأمامية.
D) الصدرية الصغيرة.
E) كل ما سبق خاطئ.","The muscle that inserts on the costal margin is:
A) Transverse pectoralis major.

B) Internal intercostal.

C) Serratus anterior.

D) Pectoralis minor.

E) All of the above are incorrect.",C,B,B,Y1,access_gap
3981,"تتميز الالياف العضلية السريعة بكل ما يلي عدا:
A) شبكة هيولية واسعة
B) عدد قليل من المتقرات
C) كبيرة الاقطار
D) غزيرة التروية الدموية","Fast muscle fibers are characterized by all of the following except:
A) a wide endoplasmic reticulum
B) few microvasculature
C) large diameter
D) rich blood supply",B,D,D,Y1,access_gap
46,". ترتكز العضلة ذات الرأسين الفخذية على
A) Tibial tuberosity
B) Head of fibula
C) Radial tuberosity
D) Ulnar tuberosity","The biceps femoris muscle attaches to:
A) Tibial tuberosity
B) Head of fibula
C) Radial tuberosity
D) Ulnar tuberosity",A,B,B,Y1,access_gap
480,"طول حنجرة الرجل:
A) 4.5 سم
B) 6 سم
C) 3سم
D) 9سم","Length of a man's larynx:
A) 4.5 cm
B) 6 cm
C) 3 cm
D) 9 cm",B,A,A,Y2,access_gap
3897,"تؤدي الأملاح الصفراوية الوظائف التالية عدا:
A) تؤدي دورا مهما في هضم الدسم
B) حلمهة الشحوم
C) تؤدي دورا في تركيب الشحوم الفوسفورية وإفرازها
D) منع تشكل الحصيات الصفراوية","Bile salts perform all the following functions except:
A) They play an important role in fat digestion
B) They hydrolyze lipids
C) They play a role in the synthesis and secretion of phospholipids
D) They prevent the formation of gallstones",D,B,B,Y2,access_gap
1283,"بوتانال+سيانيد الهيدروجين:
A) هيدروكسي بنتان نتريل
B) هيدروكسي ميتان نتريل
C) هيدروكسي بروبان نتريل
D) هيدروكسي ايتان نتريل","Butanal + hydrogen cyanide:
A) Hydroxypentanenitrile
B) Hydroxymethane nitrile
C) Hydroxypropanenitrile
D) Hydroxyethanenitrile",D,A,A,Y2,access_gap
4650,"إذا كان حجم المجتمع 250 وحجم العينة 50 وتباينها 25 فإن تقدير تباين متوسط العينة x يساوي:
A) 0.08
B) 0.4
C) 2
D) 4","If the population size is 250, the sample size is 50, and the sample variance is 25, then the estimated variance of the sample mean x is:
A) 0.08
B) 0.4
C) 2
D) 4",A,B,B,Y1,access_gap
1881,"في الطور S من الدورة الخلوية يحدث
A) تضاعف الصبغيات .
B) ترمیم عضياتها .
C) تنمو لتحضر القسها للانقسام .
D) تشكيل المتقدرات والشبكة الاندوبلاسمية","During the S phase of the cell cycle, the following occur:

A) Chromosome duplication.

B) Repair of cell organelles.

C) Growth in preparation for cell division.

D) Formation of mitochondria and endoplasmic reticulum.",C,A,A,Y1,access_gap
468,"يستمر الشريان تحت الترقوة بالشريان:
A) الابطي
B) المأبضي
C) العضدي
D) القاعدي","The subclavian artery continues with the: A) axillary artery
B) popliteal artery
C) brachial artery
D) basilar artery",C,A,A,Y1,access_gap
1470,"في الرامز الوراثي Genetic Codon (الخطأ)
A) هو عبارة عن تتالي ثلاثة نيكليوتيدات.
B) يوجد 64 احتمال مختلف للروامز.
C) يمكن أين يرمز الرامز لأكثر من حمض أميني.
D) يمكن أن يكون لكل حمض أميني أكثر من رامز.","In the genetic code (incorrect):
A) It is a sequence of three nucleotides.

B) There are 64 different possible codons.

C) A codon can code for more than one amino acid.

D) Each amino acid can have more than one codon.",A,C,C,Y2,access_gap
2641,"كل مايلي صحيح عن الليزر ما عدا
A) تستعمل كلمة ليزر في وصف تقانات أخرى لا ضوئية لنصف بصفاته
B) يطلق اسم الليزر الذري على منبع الجزيئات الموجودة في حالة مترابطة
C) يصدر ضوء الليزر نموذجيا في حزمة ضيقة ضعيفة التباعد مترابطة مكانيا
D) بدل مصطلح الضوء المترابط في تقانة الليزر الضوء الصادر على منبع ضوئي يولد أمواجا منتظمة متطابقة في التوتر والطور الاستقطاب","All of the following are true about lasers except:

A) The word laser is used to describe other non-optical technologies that share its properties.

B) The term atomic laser is used to describe a source of particles in a coherent state.

C) Laser light is typically emitted in a narrow, spacing, spatially coherent beam.

D) In laser technology, the term coherent light is used instead of light emitted from a light source that generates uniform waves with identical voltage, phase, and polarization.",B,D,D,Y1,access_gap
697,"يدخل الحالبان المثانة من سطحها
A) الخلفي
B) الجانبي
C) السفلي
D) العلوى","The ureters enter the bladder from its surface:
A) Posterior
B) Lateral
C) Inferior
D) Superior",B,A,A,Y1,access_gap
2831,"أي هذه الروابط كسرها هو الأصعب :
A) C-l
B) C-Br
C) C-Cl
D) C-F","Which of these bonds is the hardest to break: A) C-l
B) C-Br
C) C-Cl
D) C-F",A,D,D,Y1,access_gap
12,". يقع الخط الالوي السفلي على
A) السطح الخارجي للحرقفة
B) الوجه الداخلي للحرقفة
C) الفرع العلوي للعانة
D) الوجه الخلفي للفخذ","The inferior gluteal line lies on:
A) the lateral surface of the ilium
B) the medial surface of the ilium
C) the superior ramus of the pubis
D) the posterior surface of the thigh",B,A,A,Y1,access_gap
3260,"المسافة خلف البريتوان: هام جداً ومكرر بعدة صيغ:
A) حيز افتراضي بين جدار البطن الأمامي والبريتوان الجداري.
B) تحوي على الطحال.
C) تحوي كامل الكولونات.
D) كل ما سبق صح.
E) كل ما سبق خطأ.","The retroperitoneal space: Very important and repeated in several forms:
A) A hypothetical space between the anterior abdominal wall and the parietal peritoneum.

B) Contains the spleen.

C) Contains the entire colon.

D) All of the above are correct.

E) All of the above are incorrect.",A,E,E,Y2,access_gap
776,"يتوضع تحت الخط الضرسي اللامي :
A) حفرة ذات البطنين
B) حفرة الغدة تحت اللسان
C) حفرة الغدة تحت الفك السفلي
D) لا شيء مما سبق","The following are located beneath the mylohyoid line:
A) Biventricular fossa
B) Sublingual fossa
C) Submandibular fossa
D) None of the above",B,C,C,Y2,access_gap
3692,"تركيز الفركتوز في السائل المنوي :
A) اعلى من 150 ملغ / دل
B) اقل من 150 ملغ /دل
C) 150 ملغ / دل
D) ليس أي مما سبق","Seminal fructose concentration:
A) Higher than 150 mg/dL
B) Less than 150 mg/dL
C) 150 mg/dL
D) None of the above",B,A,A,Y2,access_gap
439,"عضلات جدار البطن الخلفي عدا:
A) المنحرفة الباطنة
B) القطنية
C) الحرقفية
D) الرابعة القطنية","All posterior abdominal wall muscles except: A) Internal oblique
B) Lumbar
C) Iliacal
D) Fourth lumbar",D,A,A,Y1,access_gap
4485,"ان الفروق بين الدرجات متناسب مع الفروق بين الرتب فى المقياس:
A) الفتروي
B) الاسمي
C) الرتبي
D) كل ما سبق صحيح","The differences between scores are proportional to the differences between ranks on the scale:
A) Interval
B) Nominal
C) Ordinal
D) All of the above are true",C,A,A,Y1,access_gap
1500,"في تناذر النفروز يظهر في البول قبل الترانسفرين:
A) الحديد
B) الكالسيوم
C) الألبومين
D) كل ما سبق صحيح","In nephrotic syndrome, the following appear in the urine before transferrin: A) Iron
B) Calcium
C) Albumin
D) All of the above",D,C,C,Y2,access_gap
4593,"إن وحدة المعاينة هي:
A) طريقة أخذ العينة
B) مجموعة عناصر من العينة
C) عنصر من العينة
D) إطار العينة","The sampling unit is:
A) Sampling method
B) A set of sample items
C) A sample item
D) The sampling frame",B,C,C,Y1,access_gap
4374,"يفرز الوطاء العوامل التالية عدا:
A) السوماتوستاتين
B) السوماتوميدين
C) الهرمون المطلق للميلانين
D) الهرمون المطلق للبرولاكتين","The hypothalamus secretes all of the following factors except:
A) Somatostatin
B) Somatomedin
C) Melanin-releasing hormone
D) Prolactin-releasing hormone",D,B,B,Y2,access_gap
850,"أقسام البلعوم إختر الإجابة الخاطئة :
A) قسم فوق حنجري
B) قسم الموي
C) قسم أنفي
D) قسم حنجری
E) ثلاثة أقسام","The parts of the pharynx. Choose the incorrect answer:
A) Supragmentary section
B) Eustachian section
C) Nasal section
D) Laryngeal section
E) Three sections",E,A,A,Y1,access_gap
2128,"اجتماع عدة أجهزة عضوية مختلفة ومتمايزة
A) Tissue
B) Organ
C) Organ system
D) اجتماع عدة نسج","The union of several different and distinct organ systems
A) Tissue
B) Organ
C) Organ system
D) The union of several tissues",B,D,D,Y1,access_gap
711,"يساهم بتعصيب مثنية الأصابع العميقة: (2007 أولى)
A) الفرع العميق من الكعبري .
B) العصب بين العظمين الأمامي .
C) الزندي .
D) الناصف والزندي .","It contributes to the innervation of the deep flexor digits: (2007 First Edition)
A) The deep branch of the radius.

B) The interosseous nerve.

C) The ulnar nerve.

D) The median and ulnar nerves.",A,D,D,Y2,access_gap
3925,"عند اعطاء مثبطات انهيدراز کاربونیکا :
A) يزداد CI داخل الكرية
B) يزداد نقل ال Co2 في الدم
C) يزداد Pco2 النسيجي
D) تحدث ظاهرة الزيحان الكلوري","When carbonic anhydrase inhibitors are administered:
A) Intracellular CI increases
B) Blood CO2 transport increases
C) Tissue PCO2 increases
D) Chloride shift occurs",D,C,C,Y2,access_gap
3876,"- التحويلة الفيزيولوجية:
A) نسبة VA/Q تحت القيمة السوية.
B) نسبة VA/Q فوق القيمة السوية.
C) نسبة VAQ تساوي القيمة السوية.
D) ليس لهذه النسبة علاقة بالتحويلة الفيزيولوجية","- Physiological shunt:

A) VA/Q ratio below normal.

B) VA/Q ratio above normal.

C) VAQ ratio equal to normal.

D) This ratio is not related to the physiological shunt.",C,A,A,Y1,access_gap
6,"ال تحتوي سيتوبلاسما جدر الشعيرات :
A) صهاريج من شبكة سيتوبالاسمية ناعمة.
B) متقدرات.
C) ريبوزوم.
D) معقد كولجي صغير.","The cytoplasmic walls contain:
A) cisternae of fine cytoplasmic reticulum.

B) mitochondria.

C) ribosomes.

D) a small Golgi complex.",C,A,A,Y2,access_gap
4315,"يُينقص اإلفراز المعدي:
A) الغاسترين
B) السكرتين
C) الهيستامين
D) التنبيه نظير الو ّدي","Gastric secretion is reduced by:
A) Gastrin
B) Secretin
C) Histamine
D) Parasympathetic stimulation",D,B,B,Y1,access_gap
1709,"تتميز الطفرة المحايدة Neutral mutation بما يلي:
A) لا تفقد فيها وظيفة البروتين.
B) لا يتغير الرامز.
C) لا يتغير الحمض الأميني.
D) لا يتغير الرامز المعاكس.","A neutral mutation is characterized by the following:

A) The protein does not lose its function.

B) The codon is not changed.

C) The amino acid is not changed.

D) The reverse codon is not changed.",C,A,A,Y1,access_gap
3145,"في حال توقف العقدة الجيبية الأذينية عن العمل فإن البطينات:
A) تتوقف عن العمل
B) تتباطأ انقباضاتها
C) تتسرع انقباضاتها
D) لا تتأثر","If the sinoatrial node stops functioning, the ventricles:
A) stop functioning
B) slow down
C) speed up
D) are unaffected",C,B,B,Y1,access_gap
73,"العصب الحجابي فرع الضفيرة :
A) العضدية
B) القطنية
C) الرقبية
D) العجزية","Phrenic nerve plexus branches:
A) Brachial
B) Lumbar
C) Cervical
D) Sacral",A,C,C,Y1,access_gap
2075,"يشير مصطلح nucleotides Mismatchedإلى:
A) تقابل السيتوزين مع الغوانين.
B) تقابل الأذينين مع الثيمين.
C) تقابل الغوانين مع السيتوزين.
D) تقابل السيتوزين مع الثيمين.","The term ""mismatched nucleotides"" refers to:
A) Cytosine-guanine matching.

B) Atrial-thymine matching.

C) Guanine-cytosine matching.

D) Cytosine-thymine matching.",B,D,D,Y1,access_gap
1588,"تورث المتقدرات وصبغياتها جمعيا من:
A) الاب
B) الاب والام معا
C) الام
D) جميع ما ذكر خطأ","Mitochondria and their chromosomes are all inherited from:
A) The father
B) Both father and mother
C) The mother
D) All of the above are incorrect",B,C,C,Y2,access_gap
1068,". الصحيح حول عظم الشظية
A) يقع في الاني
B) يساهم بتشكيل مفصل الركبة
C) يساهم بتشكيل مفصل الكاحل
D) يقع الناتئ الابري في نهايته السفلية","Correct information about the fibula:

A) It is located in the iliac crest
B) It contributes to the formation of the knee joint
C) It contributes to the formation of the ankle joint
D) The styloid process is located at its lower end",D,C,C,Y1,access_gap
196,"ما يلي من عضلات الساعد الأمامية العميقة عدا:
A) الراحية
B) قابضة الابهام الطويلة
C) الكابة المربعة
D) قابضة الأصابع العميقة","The following are all deep anterior forearm muscles except:
A) Palmar fascia
B) Flexor pollicis longus
C) Pronus quadratus
D) Flexor digitorum profundus",C,A,A,Y1,access_gap
1069,"ينفتح الجيب الفكي على :
A) الصماخ العلوي
B) الصماخ السفلي
C) الصماخ المتوسط
D) كل ما سبق صحيح","The maxillary sinus opens into:
A) the superior meatus
B) the inferior meatus
C) the middle meatus
D) all of the above",D,C,C,Y1,access_gap
295,"البلعوم :
A) يوجد توسع قبل الحنجرة يدعى باسم الردب الكمثري
B) يوجد في مكان التقاء اللسان مع الفلكة ثلاث طيات ناصفة ووحشيتان
C) يوجد تحت الفلكة انخفاض يدعى الوحدة
D) يعد البلعوم الأنفي جزء من أجزاء الجهاز الهضمي","Pharynx:
A) There is a dilation before the larynx called the piriform recess.
B) At the junction of the tongue and palate, there are three median and two lateral folds.
C) Below the palate is a depression called the sulcus.
D) The nasopharynx is part of the digestive system.",B,A,A,Y1,access_gap
2559,"يستعمل الـ UV فى التحاليل.........للفلزات فتظهر بال... مختلفة تبعا لـ ..... تعرضها للإشعاع فوق البنفسجي.
A) الكمية - تركيبها
B) الكيفية – لونها الأصلي
C) الكيفية - تركيبها
D) كيفية - إمتصاصها","UV is used in the analysis of metals, which appear differently depending on their exposure to ultraviolet radiation.

A) Quantity - Composition
B) Quality - Original Color
C) Quality - Composition
D) Quality - Absorption",D,C,C,Y3,access_gap
3643,"عند فحص قعر العين تكون الرؤية مكبرة وغير مجسمة باستخدام: (اختر الإجابة الصحيحة)
A) منظار قعر العين غير المباشرة
B) منظار قعر العين المباشر
C) المصباح الشقي
D) كل مما سبق خطأ","When examining the fundus of the eye, the vision is magnified and not stereoscopic using: (Choose the correct answer)
A) Indirect fundus speculum
B) Direct fundus speculum
C) Slit lamp
D) All of the above are incorrect",A,B,B,Y5,access_gap
2369,"وفقا للعلاقة يزداد تخامد فإن معامل التخامد u :
A) العدد الذري للوسط
B) كثافة الوسط
C) طاقة الاشعاع الوارد
D) كل ما سبق صحيح","According to the relationship, as the damping increases, the damping coefficient u is:
A) Atomic number of the medium
B) Density of the medium
C) Energy of the incident radiation
D) All of the above are true",D,B,B,Y3,access_gap
3761,"أحد مسكنات الألم التالية لايجوز مشاركته مع الباراستامول :
A) بوبري نورفين
B) بنتازوسين
C) بيوتور فانول
D) ترامادول
E) نيفوبام","One of the following painkillers should not be taken with paracetamol:
A) Buprenorphine
B) Pentazocine
C) Butorphanol
D) Tramadol
E) Nifopam",C,E,E,Y3,access_gap
3079,"من صفات رضوض البطن المغلقة ما عدا:
A) كثرة النزوف
B) نسبة الوفيات عالية
C) قد تترافق بإصابات عصبية
D) رضوض الكلية المرافقة تعبر عن شدة الإصابة
E) قلة إصابة الأحشاء الكتيمة","All characteristics of closed abdominal trauma except:
A) Excessive bleeding
B) High mortality rate
C) May be associated with neurological injuries
D) Associated kidney trauma indicates the severity of the injury
E) Limited involvement of occlusive organs",A,E,E,Y3,access_gap
